"Painting","Year","Y","Color","Size"
"Perikopenbuch Heinrichs II.; Szene by Unknown.",1007,40,"#a3864a",0.639215686275
"Aufklärung nach dem Schneefall am Fluß by NA",1035,11,"#33221e",0.2
"雙喜圖 by Cui Bai",1061,15,"#674032",0.403921568627
"早春 by Guo Xi",1072,21,"#755645",0.458823529412
"Herbst im Flußtal by Guo Xi",1072,33,"#665744",0.4
"Predigtsammlungen des Mönchs Johannes von Kokkinobaphos über die Jungfrau Maria; Szene by Unknown.",1078,39,"#c3b69d",0.764705882353
"Predigtsammlungen des Mönchs Johannes von Kokkinobaphos über die Jungfrau Maria; Szene by Unknown.",1078,33,"#8a683d",0.541176470588
"Koran; Szene by Unknown.",1182,37,"#ded8ce",0.870588235294
"Kitâb ad-Diryâq (Buch der Gegengifte) des Pseudo-Galenos; Szene by Unknown.",1199,34,"#d7bb96",0.843137254902
"Kitâb ad-Diryâq (Buch der Gegengifte) des Pseudo-Galenos; Szene by Unknown.",1199,27,"#9a785c",0.603921568627
"Gelehrter mit Diener auf einer Terasse by Ma Yuan (painter)",1200,36,"#6b593d",0.419607843137
"Kalîla und Dimna; Schakalmärchen; Szene by Unknown.",1200,16,"#5f4c45",0.372549019608
"Kalîla und Dimna; Schakalmärchen; Szene by Unknown.",1200,25,"#b69d8a",0.713725490196
"Der Kleinkram-Hausierer by NA",1210,16,"#674133",0.403921568627
"Buch der Pferdeheilkunde des Ahmad ibn al-Husayn ibn al-Ahnaf; Szene by Unknown.",1210,36,"#dacebb",0.854901960784
"Kitâb al-Aghânî (Buch der Lieder); Bd. 17; Szene by Unknown.",1218,23,"#d6b6a2",0.839215686275
"Kitâb al-Aghânî (Buch der Lieder); Bd. 17; Szene by Unknown.",1218,7,"#2d2625",0.176470588235
"Kollektenbuch der Evangelien der syrischen Jakobitenkirche; Szene by Unknown.",1220,30,"#d9c2aa",0.850980392157
"Maqâmât (Versammlungen) des al-Harîrî; Szene by Unknown.",1222,21,"#382d27",0.219607843137
"De Materia Medica (Das Kräuterbuch) des Dioskurides; Szene by Unknown.",1224,18,"#382f2b",0.219607843137
"De Materia Medica (Das Kräuterbuch) des Dioskurides; Szene by Unknown.",1224,17,"#635048",0.388235294118
"De Materia Medica (Das Kräuterbuch) des Dioskurides; arabische Manuskriptabschrift des griechischen Textes; Szene by Unknown.",1229,17,"#473832",0.278431372549
"De Materia Medica (Das Kräuterbuch) des Dioskurides; arabische Manuskriptabschrift des griechischen Textes; linke Titelblattseite; Szene by Unknown.",1229,24,"#796557",0.474509803922
"De Materia Medica (Das Kräuterbuch) des Dioskurides; arabische Manuskriptabschrift des griechischen Textes; rechte Titelblattseite; Szene by Unknown.",1229,38,"#e4d4b8",0.894117647059
"De Materia Medica (Das Kräuterbuch) des Dioskurides; arabische Manuskriptabschrift des griechischen Textes; Szene by Unknown.",1229,51,"#88867a",0.533333333333
"De Materia Medica (Das Kräuterbuch) des Dioskurides; arabische Manuskriptabschrift des griechischen Textes; Szene by Unknown.",1229,14,"#ad7260",0.678431372549
"Maqâmât (Versammlungen) des al-Harîrî; Szene by NA",1237,35,"#ab9575",0.670588235294
